,0
1086,г уравнен х ф оператор ядр сопряжен р ядр м уравнен оператор т л сопряжен г оператор уравнен т м сопряжен ядр л ядр оператор уравнен р ф м сопряжен л
1087,т е м п е г х т х л м м г л п
1088,решен ядр уравнен г р класс логарифмическ функц класс ядр решен логарифмическ уравнен р функц р логарифмическ уравнен ядр класс решен функц логарифмическ класс уравнен ядр решен функц 
1089,т г услов имеют теплов п р потенциал работ м т уравнен г имеют теплов потенциал ф работ ср потенциал теор мест н имеют е теплов х работ тип теплов л х услов выполн т р потенциал
1090,е уравнен задач г уд решен област област уравнен уд ь задач решен уд е област уравнен т решен задач г задач уравнен уд област решен
1091,н функц услов систем координат е х услов х функц координат систем т л р функц г услов х систем координат услов координат систем функц г р е
1092,л р решен уравнен устойчив е ограничен линейн р решен уравнен устойчив ограничен линейн устойчив х решен уравнен линейн л ограничен ограничен х решен уравнен устойчив м линейн л
1093,е неравенств т х неравенств х т неравенств е неравенств т
1094,т ехр систем правильн л матриц х е т ехр систем матриц правильн ехр г систем матриц правильн т матриц ехр систем х правильн
1095,л точк уравнен т област решен уравнен точк т област решен м точк област уравнен л е решен л област точк уравнен решен м
1096,х л л х л л х
1097,ехр случа уравнен вид г случа уравнен ехр вид л вид уравнен ехр е случа уравнен л ехр случа вид т
1098,функц х котор значен обобщен услов пространств г линейн управлен ф пространств л обобщен функц линейн р управлен услов р линейн значен т функц обобщен пространств котор множеств е функц обобщен пространств д услов котор х линейн р
1099,г н н г н н г
1100,област решен уравнен ох лин функц точк г след котор уравнен лин точк функц решен област ох след котор област уравнен котор т функц точк решен лин ох след х функц решен ох уравнен област точк о лин котор след
1101,х элемент п вид матриц систем г приводим алгебр уравнен систем алгебр ф матриц приводим т элемент уравнен подпространств приводим подпространств вид систем алгебр матриц е элемент уравнен п элемент матриц систем г приводим уравнен вид подпространств
1102,р функц асимптотическ н г устойчив д люб люб устойчив е х функц г асимптотическ д функц р асимптотическ е л устойчив люб функц т г л устойчив люб асимптотическ ч д
1103,устойчив достаточн област функц п систем ляпунов уравнен т т уравнен функц систем устойчив ляпунов област достаточн област достаточн функц систем устойчив ляпунов т уравнен уравнен функц систем достаточн ляпунов п устойчив област т
1104,р т уравнен котор е х уравнен котор уравнен г е котор х р уравнен котор
1105,х т уравнен флок решен тип ф систем тип л решен е о уравнен флок систем услов решен тип х е о уравнен м флок систем о решен уравнен х г флок тип р
1106,е п уравнен р решен област цел т уравнен р област решен цел уравнен цел т е решен област област цел уравнен т решен п
1107,р решен х уравнен задач некотор услов функц случа кх решен задач некотор услов уравнен случа кх функц задач некотор решен случа уравнен функц услов кх решен функц услов х уравнен задач л случа некотор кх
1108,р услов уравнен задач точк одн максимум принцип множеств хот точк одн множеств котор т л максимум задач услов принцип функц принцип услов функц одн точк задач максимум множеств уравнен ф принцип одн функц максимум точк е услов задач множеств уравнен
1109,х оператор е некотор х некотор оператор г оператор е некотор х оператор р некотор
1110,функц ехр систем р уравнен функц систем ехр д уравнен т уравнен функц ехр систем д систем д функц ехр уравнен р
1111,решен задач уравнен функц задач уравнен функц решен г уравнен функц задач решен задач функц уравнен решен р
1112,д функц ряд класс отрезк решен г оператор област п х порядк класс функц д област оператор отрезк г област ряд п функц оператор решен класс отрезк х отрезк б решен функц област оператор е класс ряд
1113,е д ряд н уравнен управлен х вид л уравнен управлен е д ряд вид управлен м е уравнен ряд д вид м п уравнен е ряд управлен н вид
1114,х множеств систем лин случа уравнен случа лин множеств уравнен систем х лин множеств уравнен систем случа лин систем р множеств случа уравнен х
1115,систем х х систем систем р х систем г
1116,е р систем х е систем х е систем х е систем л
1117,л л л л ф
1118,т систем уравнен изв дифференц нелинейн дифференциальн решен н ссср библиогр некотор одн задач ан вуз е линейн уравнен мат коэффициент ан линейн дифференциальн порядк решен т услов стр уравнен теор сер библиогр одн класс ссср сист некотор линейн назв ф
1119,0
1120,р систем решен показател п т матриц ограничен линейн матриц систем т решен п ограничен показател линейн решен р систем матриц п ограничен показател линейн систем матриц линейн показател решен ограничен л
1121,решен е услов уравнен о функц т услов уравнен решен д функц уравнен д услов о решен функц услов е решен уравнен д функц
1122,х а базис дх сист вектор положительн н управляем е положительн вектор базис а х дх сист управлен управляем вектор х управляем положительн базис управлен т п дх л е вектор управляем сист положительн базис дх а
1123,ф систем т м услов м т систем е услов систем услов г е е г систем х услов
1124,д л е задач н г т л задач т задач н г п т л е задач н
1125,п уравнен е ехр уравнен е ехр е уравнен ехр уравнен г е ехр
1126,уравнен постоя услов е действ удовлетворя возмущен функц буд решен решен удовлетворя больш услов значен некотор постоя кольц е возмущен уравнен функц кольц буд удовлетворя функц возмущен устойчив больш значен уравнен решен услов люб постоя некотор устойчив возмущен буд х уравнен функц
1127,х точк област крив ф траектор уравнен систем дуг ох т крив дуг точк уравнен ох е траектор систем област ф дуг уравнен траектор л точк систем област точк систем н област пуст непрерывн е уравнен траектор о
1128,матриц некотор г пуст буд систем векторн функц отрезк решен последовательн функц последовательн систем векторн буд х матриц пуст решен отрезк некотор л векторн систем след функц некотор матриц отрезк пуст буд решен последовательн некотор пуст матриц векторн последовательн функц решен буд л отрезк ф систем
1129,т р уравнен услов решен матриц г ф матриц услов уравнен решен р т уравнен п матриц услов решен г р уравнен ф матриц решен услов г
1130,н б е систем л б систем т г систем б т систем п е н л
1131,погрешн уравнен п решен оценк функц оценк уравнен решен функц погрешн оценк функц п решен погрешн уравнен п оценк решен б функц уравнен погрешн
1132,е случайн т уравнен решен п периодическ систем услов средн случайн периодическ р уравнен л услов решен систем средн е случайн уравнен систем периодическ решен услов х средн п услов г т уравнен случайн систем периодическ средн решен
1133,р т г лемм л р м лемм п п лемм л м т е м лемм р
1134,множеств точк рекуррентн т движен п люб элемент устойчив пуассон движен так р множеств устойчив люб б точк элемент пуассон явля люб движен рекуррентн устойчив р явля множеств точк пуассон множеств е явля услов устойчив т люб точк движен элемент
1135,уравнен цикл предельн х г услов предельн г уравнен цикл услов цикл предельн уравнен услов уравнен цикл х ф предельн услов
1136,е яреализуем услов т систем ху функц л п элемент множеств систем ф услов функц р яреализуем област функц област р элемент г яреализуем ф р н множеств элемент функц г яреализуем п област
1137,оценк е т работ функц г уравнен амплитуд р функц т уравнен работ п г амплитуд оценк функц оценк удовлетворя принцип т л г уравнен д р уравнен функц д принцип т г амплитуд оценк
1138,г решен дх ф задач дх задач ф решен г решен т дх задач ф т дх решен задач г
1139,м уравнен задач х квазирешен г функц решен решен задач функц квазирешен уравнен г е р л задач т квазирешен уравнен функц решен х т м задач квазирешен уравнен решен функц
1140,е уравнен др т решен ат вид уравнен решен н т вид др ат е н уравнен решен ат др вид р др ат е уравнен решен вид
1141,величин т задач точк услов управлен функц котор хх систем должн управлен движен задач величин уравнен услов функц котор управлен движен функц задач услов должн величин г систем точк систем г управлен функц уравнен задач услов котор хх
1142,м задач так функц х управлен х г задач управлен так функц так функц х управлен задач так задач управлен т г функц е
1143,е множеств т поток пуст уравнен существ так теорем решен г уравнен так пуст множеств поток существ решен теорем уравнен поток теорем е пуст множеств т существ так решен существ г множеств пуст уравнен теорем так поток решен
1144,модел услов решен ф д производств оптимальн х ф производств решен модел услов оптимальн услов р д решен модел производств оптимальн г услов х модел решен производств оптимальн
1145,функц уравнен аналитическ област ветв одн точк систем услов однозначн аналитическ замкнут област функц точк систем одн г уравнен услов точк имеет уравнен услов замкнут траектор цикл равенств окрестн однозначн функц х функц окрестн равенств аналитическ уравнен услов област цикл однозначн решен имеет е
1146,м решен област е уравнен л х т уравнен област решен л уравнен м г т решен област уравнен решен област т р л
1147,изохрон член т г услов услов изохрон е член ф изохрон е услов член изохрон г услов член
1148,ф т г функц задач п уравнен ф функц г задач уравнен л уравнен функц р задач е уравнен ф функц задач п
1149,х систем матриц т рх приводим уравнен матриц т г систем приводим уравнен рх т рх приводим х матриц систем уравнен п матриц х систем приводим уравнен рх
1150,решен уравнен х л т ах г существ ух о р уравнен ах е решен л ух м ах существ решен х о уравнен л ух м решен ах е о уравнен р ух существ н
1151,ф решен задач уравнен функц задач уравнен функц ф решен х решен функц задач уравнен ф ф решен уравнен задач функц е
1152,времен р х зада уравнен задач случа устойчив област систем услов решен устойчив систем област услов д времен зада интервал решен условн условн област случа матриц устойчив решен е зада времен систем услов уравнен т услов случа уравнен задач е времен зада област систем устойчив решен
1153,периодическ уравнен х м решен систем характеристическ устойчив е характеристическ уравнен р решен систем устойчив периодическ уравнен т р систем решен характеристическ устойчив периодическ характеристическ т уравнен решен г систем периодическ устойчив е
1154,уравнен т ф систем г п мал решен ф р п уравнен л решен мал о т решен г л мал р уравнен п мал решен м т ф р уравнен г о
1155,ф х л г п г п л п г ф
1156,г решен матриц задач т определен систем кх услов е услов матриц г задач решен систем кх определен е кх решен матриц задач услов систем определен систем решен услов матриц е задач кх определен
1157,точк экватор х рис пуанкар т конечн особ уравнен точк седл нача седлоузел х имеет образ пуанкар явля узл особ е област конечн вид т случа рис точк экватор седлоузел особ рис особ н точк услов ос явля гиперболическ уравнен экватор р
1158,х задач точност порядк уравнен решен асимптотик порядк решен асимптотик задач х точност уравнен решен р порядк уравнен задач асимптотик точност задач л решен уравнен порядк асимптотик точност
1159,коллокац лин р услов г метод услов коллокац г л метод лин р метод х услов л коллокац лин лин услов л метод коллокац р
1160,г уравнен н решен систем задач услов систем решен уравнен задач н услов решен задач уравнен систем услов уравнен г задач решен систем услов
1161,метод м х уравнен решен л е м метод уравнен решен р х метод решен м уравнен п г метод х уравнен решен п л
1162,г центр центр т г центр центр г
1163,п лар решен решен е лар е лар решен п решен лар
1164,г уравнен существ е н систем мал е уравнен р систем существ н л мал е м р существ систем уравнен мал р т существ систем уравнен мал м
1165,м стр уравнен дифференциальн стр уравнен дифференциальн стр дифференциальн уравнен стр дифференциальн уравнен
1166,х оптимальн услов множеств е р понтрягин задач экстремал управлен х понтрягин экстремал услов оптимальн е управлен задач г множеств х т л экстремал оптимальн понтрягин управлен задач услов л управлен экстремал оптимальн е р понтрягин задач услов п
1167,х г м функц ф услов систем м функц систем е л услов м услов е функц ф систем услов функц х м л систем
1168,мал точк достаточн систем инвариантн прям р крив интегральн окрестн крив инвариантн го мал точк достаточн интегральн окрестн систем прям т мал крив инвариантн точк систем р прям интегральн т достаточн инвариантн систем т мал окрестн крив прям интегральн точк го
1169,облада решен т систем уравнен свойств вид так котор уравнен решен так р систем вид свойств котор облада вид свойств уравнен решен систем так котор облада свойств котор г решен систем уравнен вид так облада
1170,г услов систем т решен вид точк вид услов г решен систем точк г п решен точк вид систем услов решен точк т г систем услов вид
1171,особ оптимальн управлен т дх ф функц дх управлен х особ оптимальн ф функц л особ функц управлен т оптимальн дх дх функц д управлен особ оптимальн 
1172,функц точк петл р уравнен устойчив особ непрерывн цикл седл дифференцируем особ х уравнен точк петл устойчив цикл непрерывн функц дифференцируем седл г непрерывн точк особ уравнен устойчив петл функц дифференцируем седл цикл дифференцируем устойчив уравнен точк особ петл цикл непрерывн функц седл
1173,е устойчив г х л случа случа п устойчив х е т л устойчив е случа е р устойчив х случа
1174,функц продолжим определ решен непрерывн уравнен услов вопрос ляпунов исследован некотор дифференциальн функц вопрос п продолжим определ уравнен решен ляпунов некотор услов исследован работ решен получ некотор услов уравнен функц продолжим непрерывн т вопрос непрерывн некотор функц н услов ляпунов решен уравнен продолжим вопрос
1175,г систем точк имеет случа особ поведен м систем случа точк особ имеет поведен случа точк особ систем имеет поведен м имеет точк систем случа особ поведен
1176,г вид уравнен ах услов центр ах центр услов уравнен вид ах центр услов уравнен вид центр услов ах уравнен вид
1177,е грин матриц г задач м матриц задач м р грин т матриц р г задач грин л матриц г задач грин л м
1178,р либ интервал имеет существ точк явля так случа г уравнен интервал либ случа так существ конечн семейств е уравнен г м имеет явля уравнен интервал функц либ случа семейств крив уравнен след крив так интервал кажд е г ф
1179,услов решен т уравнен е задач пуст задач уравнен решен т ф м пуст услов ф уравнен решен услов задач р пуст е уравнен т задач решен пуст услов г
1180,ряд уравнен х р решен х ряд уравнен ь решен п решен ряд х уравнен р уравнен г ряд р решен
1181,пространств х оператор норм задач услов функц уравнен област котор функц задач услов уравнен граничн г пространств област ф котор уравнен задач котор ф услов функц пространств област оператор котор уравнен услов т функц задач пространств област оператор граничн х
1182,решен задач г стержн г решен задач стержн задач решен г стержн г задач стержн решен
1183,л уравнен гл област индекс оператор сопряжен х семейств услов линейн элемент сопряжен элемент услов г оператор уравнен семейств област индекс разрешим линейн значен семейств числ област оператор сопряжен уравнен элемент индекс гл элемент оператор числ уравнен сопряжен т област семейств разрешим ф
1184,о источник систем е пол задач цилиндр уравнен координат случа решетк уравнен пол ф е задач цилиндр систем источник числ решетк координат е решетк пол задач систем цилиндр числ уравнен источник источник случа числ р е пол задач о цилиндр систем уравнен
1185,непрерывн решен т уравнен оператор пространств х гильбертов линейн непрерывн т м оператор уравнен пространств л гильбертов решен линейн м оператор уравнен непрерывн линейн г пространств решен гильбертов б пространств х л решен оператор непрерывн уравнен гильбертов линейн б
1186,задач так решен метод услов функц матриц п уравнен ортогональн граничн систем метод функц уравнен матриц систем задач решен услов ортогональн м граничн так преобразован метод задач услов уравнен решен функц ортогональн граничн матриц так задач метод преобразован матриц п услов функц решен ортогональн уравнен граничн м
1187,н множеств п функц сегмент р показател нижн нижн функц показател множеств п сегмент е функц сегмент р множеств показател нижн функц сегмент н п показател нижн множеств
1188,е крив систем г м состоян состоян крив г е систем крив г м систем состоян г з крив систем состоян м
1189,уравнен е решен систем р явля м х систем г решен уравнен явля н х е решен уравнен систем н явля систем уравнен х решен р явля н м
1190,т матриц х пуст задач грин систем матриц задач р т грин систем пуст грин задач матриц г т пуст систем матриц задач е р грин т пуст систем
1191,н е точк компактн е точк компактн н компактн точк х е компактн точк х
1192,скользя функц систем м систем скользя функц г систем скользя функц г скользя систем функц
1193,уравнен задач люб р ух г т услов удовлетворя л люб р функц существ так след е е решен р люб удовлетворя ух х г услов уравнен существ ух функц уравнен решен з услов т е
1194,х услов свойств либ уравнен функц лин е предел точк непрерывн уравнен х свойств либ функц лин точк предел услов непрерывн точк уравнен функц р лин свойств предел непрерывн либ услов лин функц свойств ф уравнен услов либ предел непрерывн точк
1195,м х решен функц сп так непродолжим т непродолжим сп решен так функц решен так функц е непродолжим сп е функц сп решен м так непродолжим т
1196,решен функц х систем периодическ е периодическ систем р решен г функц т п функц систем решен периодическ г систем периодическ е т решен п функц
1197,х т б р т б г т б х р т г б п
1198,т ь лемм положительн вектор п систем управляем управлен локальн имеет вектор управляем х случа систем г имеет управлен локальн вектор управлен систем имеет управляем п локальн н случа управляем систем лемм положительн вектор е г имеет н локальн
1199,уравнен функц га г т периодическ вид постоя систем случа дм периодическ систем га постоя функц вид м уравнен п случа решен функц т дм уравнен вид га постоя систем периодическ х вид систем решен дм т функц уравнен периодическ постоя
1200,систем матриц е услов непрерывн е т матриц систем непрерывн услов систем матриц услов е л непрерывн систем непрерывн т р матриц услов л
1201,смеша област уравнен дифференциальн дх услов систем неравенств задач част вектор смеша задач неравенств дифференциальн област систем уравнен част услов дх вектор област уравнен дифференциальн част систем задач смеша дх неравенств услов вектор услов част г неравенств област систем уравнен задач дх дифференциальн смеша вектор
1202,решен услов р оператор формул е уравнен задач граничн функц р уравнен задач услов г решен граничн пространств е л т формул уравнен решен задач оператор функц пространств н оператор уравнен задач решен т граничн функц пространств формул
1203,п д уравнен т решен сопериодическ функц функц уравнен д решен сопериодическ е решен г функц т уравнен сопериодическ е уравнен х решен д сопериодическ г функц
1204,х удовлетворя ограничен решен пуст оператор г п услов п числ услов удовлетворя л решен оператор ограничен уравнен т уравнен услов т пуст л оператор решен ограничен услов г р уравнен функц п оператор ограничен решен
1205,п т п п г г т
1206,поверхн задач л точк задач точк поверхн р т задач поверхн точк поверхн задач точк р
1207,е р пространств функционал оператор услов подпространств линейн уравнен основн собствен спектр р ф л числ уравнен пуст хе оператор услов пространств подпространств оператор услов линейн теор уравнен спектр функционал пространств подпространств собствен пуст подпространств оператор функционал собствен пуст числ е услов пространств уравнен линейн
1208,задач решен х приближен последовательн м решен задач т приближен последовательн м задач приближен т решен последовательн задач х решен приближен последовательн
1209,дх г х дх г х дх г х дх х д
1210,г уравнен решен р уравнен решен р х уравнен решен решен х уравнен г
1211,отрезк п прям задач г след значен схем выражен х п выражен задач отрезк след прям схем значен задач отрезк р прям след выражен схем значен прям г п задач выражен отрезк след значен схем
1212,пространств е задач неравенств уравнен решен г решен ф т задач неравенств пространств уравнен т е неравенств задач решен уравнен пространств решен ф х неравенств задач уравнен пространств г
1213,х точк уравнен решен мал услов котор услов котор точк решен х уравнен т мал т уравнен решен услов мал котор точк мал услов точк уравнен решен г котор
1214,д п й задач н р неравенств решен оператор е г т задач неравенств оператор м решен задач й р н решен неравенств оператор е задач л р оператор м неравенств решен
1215,решен р г устойчив систем орбитальн устойчив г решен п систем л орбитальн систем е решен г устойчив о орбитальн систем р орбитальн т решен устойчив х о
1216,е н х услов функц уравнен ляпунов всюд решен ляпунов г е функц уравнен услов решен всюд х ляпунов р н функц уравнен решен услов всюд функц х услов решен н ляпунов п уравнен всюд
1217,х п д решен функц услов задач б х п решен задач м услов функц б е решен задач м услов функц м е п решен задач д функц услов
1218,функц х вид уравнен р удовлетворя пункт периодическ услов функц ф х пункт уравнен периодическ услов вид удовлетворя услов периодическ уравнен т функц б удовлетворя пункт вид т удовлетворя пункт функц г уравнен б вид услов периодическ
1219,п формул матриц уравнен е функц систем матриц систем п функц формул уравнен р уравнен функц систем формул матриц е уравнен функц систем формул матриц е
1220,г решен люб п уравнен е точк необходим коэффициент решен коэффициент полюс точк либ необходим уравнен р г люб уравнен люб точк е необходим решен ф либ р ф необходим коэффициент либ уравнен решен б точк м
1221,услов п интегральн систем алгебраическ уравнен крив дифференциальн м а п точк уравнен крив систем р алгебраическ дифференциальн услов систем е уравнен м крив дифференциальн услов точк алгебраическ интегральн интегральн алгебраическ уравнен систем дифференциальн крив услов точк т
1222,х асимптотическ решен уравнен р функц сопериодическ след р асимптотическ сопериодическ след решен уравнен функц о уравнен решен х функц асимптотическ сопериодическ след решен асимптотическ х уравнен функц сопериодическ след
1223,р решен систем х систем р х решен х систем е решен т е систем т решен
1224,х уравнен решен функц решен функц уравнен г решен уравнен функц функц решен уравнен
1225,функц п круг уравнен решен област последовательн г функц уравнен последовательн област круг решен р уравнен решен област функц круг последовательн е круг г уравнен функц решен област последовательн
1226,б г сектор е систем г систем сектор р т е сектор систем систем т е сектор б
1227,р п н е горн функц горн функц п х е т х функц р б л горн п г б л функц горн т
1228,р ди т неравенств пространств функц задач т ди функц неравенств д пространств задач функц неравенств ди н р пространств задач т д ди неравенств пространств задач функц з
1229,р х оператор услов всюд л непрерывн множеств резольвент спектр оператор множеств вполн резольвент л о спектр непрерывн всюд о спектр резольвент р оператор непрерывн м множеств вполн оператор вполн х л спектр множеств резольвент непрерывн всюд
1230,п г л глав п г м глав г л глав х глав п м
1231,функц ех числ х обратн оператор полос решен буд оператор ех полос е функц т решен буд обратн числ оператор буд числ х функц ех обратн полос решен х функц ех обратн решен оператор полос буд числ
1232,систем функц систем функц систем функц систем функц
1233,решен х п уравнен решен х п уравнен х г решен уравнен решен уравнен х г
1234,стр эллиптическ мат библиогр решен одн кош метод интегральн ю решен функц метод дифференц линейн л ссср эллиптическ стр уравнен мат назв библиогр мат задач уравнен дифференц сер усср ссср физик метод кош линейн стр дифференц задач т физик назв вычисл мат систем эллиптическ нелинейн линейн решен
1235,решен т систем л теорем н уравнен б систем теорем д решен н б г уравнен т решен л систем теорем г уравнен е х решен систем т м теорем уравнен г
1236,так функц систем множеств м решен х предельн п пуст пуст т решен так л множеств функц систем предельн предельн так множеств функц систем м т решен л п л предельн систем х решен пуст н множеств функц рекуррентн г
1237,х числ особ возможн порядк мер кривизн р уравнен е порядк цел х крив возможн вид е кривизн числ уравнен мер цел возможн уравнен случа особ числ кривизн вид кривизн п ч люб х уравнен числ цел порядк вид
1238,р состоян функц сист уравнен динамическ управляем движен систем е функц систем ф движен уравнен динамическ сист управляем состоян е функц р динамическ сист состоян уравнен движен систем управляем ф функц л динамическ сист т движен управляем состоян систем
1239,уравнен решен ф функц порядк г уравнен решен ф порядк функц решен уравнен функц б г порядк функц уравнен ф решен порядк
1240,уравнен ф е систем г н ф т систем уравнен н систем ф х уравнен т систем р х уравнен н
1241,точк существ элемент пуст минимальн множеств движен угодн р ф люб пуст е явля скол так множеств точк ф люб люб элемент множеств скол отображен е точк ф движен отображен явля множеств так скол б точк люб пуст
1242,неустойчив м след так п пуст определен множеств т б обобщен след функц существ люб чисел р множеств функц е чисел н р множеств так устойчив п е чисел о множеств функц так устойчив п
